,Group number,L2 Group,L1 Group,Country,Longitude,Latitude,Reef area,Cell number
118,123,Pitt Bank S,Southern Banks,Chagos,71.4800033569336,-7.209705829620361,1185814,31529
119,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.209705829620361,61926,31530
120,123,Pitt Bank S,Southern Banks,Chagos,71.31999969482422,-7.189864158630371,261933,31531
121,123,Pitt Bank S,Southern Banks,Chagos,71.33999633789062,-7.189864158630371,5563,31532
122,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.189864158630371,668149,31533
123,123,Pitt Bank S,Southern Banks,Chagos,71.4800033569336,-7.189864158630371,871348,31534
124,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.170021057128906,568647,31535
125,123,Pitt Bank S,Southern Banks,Chagos,71.44000244140625,-7.150177478790283,309358,31536
126,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.150177478790283,621362,31537
127,123,Pitt Bank S,Southern Banks,Chagos,71.44000244140625,-7.130333423614502,62473,31538
128,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.130333423614502,1580812,31539
129,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.189864158630371,27725,31744
130,124,Pitt Bank C,Southern Banks,Chagos,71.30000305175781,-7.170021057128906,274701,31745
131,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.170021057128906,56636,31746
132,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.170021057128906,586796,31747
133,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.170021057128906,314101,31748
134,124,Pitt Bank C,Southern Banks,Chagos,71.27999877929688,-7.150177478790283,96857,31749
135,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-7.150177478790283,728981,31750
136,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.150177478790283,2187400,31751
137,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.150177478790283,203746,31752
138,124,Pitt Bank C,Southern Banks,Chagos,71.30000305175781,-7.130333423614502,73144,31753
139,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.130333423614502,337358,31754
140,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-7.130333423614502,1513961,31755
141,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.130333423614502,904820,31756
142,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.130333423614502,548674,31757
143,124,Pitt Bank C,Southern Banks,Chagos,71.4000015258789,-7.130333423614502,68401,31758
